,concept_1,concept_2,concept_3,concept_4,concept_5,concept_6,concept_7,concept_8,concept_9,concept_10,concept_11,concept_12,concept_13,concept_14,concept_15,concept_16,concept_17,concept_18,concept_19,concept_20,concept_21,concept_22,concept_23,concept_24,concept_25,concept_26,concept_27,concept_28,concept_29,concept_30
211789.json,0.06328371912748247,-0.10118436779028342,-0.04633089196341636,0.012144287283853965,0.013205401518249097,0.0243589763580465,-0.01738441889254519,-0.02842878758608155,0.0013909734459857726,0.0047606175791814415,-0.030200440388873467,0.018457093791639838,-0.03514471002382953,-0.006223860623750534,-0.00020744706195834653,-0.06628965798866084,-0.04193014512884383,0.0075508739804805445,0.02419797851422228,-0.10843114289547558,0.13216766474080588,0.028125015233497887,0.25112791309423743,-0.02922454368320983,-0.017319839023091442,0.11158251752475899,-0.07734475025783165,-0.3335145541226445,-0.11194921678032255,-0.15653146688406122
216107.json,0.025501505218646813,-0.04464787188516862,-0.020863112795194167,0.00430422823979387,0.00263043867877918,0.004329173850875445,-0.012153946524119346,0.0029277554048321554,0.015940866030452278,0.002319603014081187,-0.027389384039189654,0.007936913099677244,0.0014567503061945766,-0.005013721903695078,0.0012958352957856694,0.00023007283353705947,0.03022928855027568,-0.02028023818139187,-0.0013918725025342253,-0.011212156399320968,-0.016500316691037374,-0.007586185570283972,0.0026429672469973076,-0.014896234054009336,-0.010192163410071352,-0.005819752431372759,-0.0049525716153846835,0.0012088956694571776,0.031288117021778306,-0.02935411419055969
2164.json,0.032632027538645615,-0.076461443001215,-0.04277073884669111,0.0008763154576603429,0.006529229927041473,0.014797647180832622,-0.027956406331821445,0.01326997063743176,0.009845649373285099,0.017225185993988555,-0.011019452016385873,0.02553868191296643,-0.006411113846919014,0.003406078328978394,-0.011026099815927379,-0.02993688306152395,-0.018076601336715067,0.038811610448628124,0.011252548717019676,0.022378638019658247,-0.0018693136796758053,0.011998976954087982,0.016281579391041766,0.02388972877171223,0.01910168980970073,0.03325332084952224,-0.006137526768787015,0.08276422295341017,-0.010686777208586608,-0.04938680469995937
217398.json,0.03458985541351258,-0.05480914627278703,-0.03241267800775955,-9.485247824928222e-05,0.0111077545716821,-0.0005781447225246045,-0.013695650595047874,0.0012398711513377215,0.0029893527112307273,-0.03056169942528885,-0.008153258561235175,-0.0022477036126298273,0.013059061241311178,0.004202571408109423,0.009445313102813446,0.034617761655588046,0.06463523128593664,-0.025468613230856287,-0.013803024906125035,0.028255268250863046,-0.02615288718173251,0.011310344231106873,-0.029855039364705748,-0.0441034049545043,-0.012850669907472915,-0.0456421633472262,-0.03205599155698036,-0.012376556438038375,0.023219584440661863,0.029588012739055265
252096.json,0.027739354625217216,-0.05994877695341525,-0.03065711634725774,-0.0037979258278905558,0.01746934497489673,0.016631545926742125,-0.027195306099824366,0.0038874327189362054,0.00438739405800918,0.0039039111041122335,-0.04606946503510891,0.022996106709589077,-0.0030660054144579924,-0.009811191410012847,0.009648430164850882,-0.028174439518979032,0.031431349685008075,-0.03227912831706651,0.004264795289378148,-0.0419969907731278,-0.03438828739728312,-0.013605631329474517,0.022646738430458106,-0.020510838172248316,0.0006718411912110645,-0.014061838868931894,0.013100770188265547,-0.016538881359974143,-0.004465712643950149,-0.03362125550295312
253369.json,0.054540429998447694,-0.09199282116710125,-0.04995912617737696,0.007201412122324967,0.016270923543817487,0.01262224010145332,-0.02253721354098823,-0.03430359040786525,0.00200978120994629,7.959266144681992e-05,-0.023743529926322258,0.013046969827387204,0.004845088656622663,0.029412753580913945,0.00020510458208581678,0.09204915551427605,0.037975928841559585,-0.013755167738284916,-0.05018103163334468,0.06353490886818704,0.014249209418406017,-0.06452153359259898,-0.10170233300246546,-0.031158523236366156,-0.04206728588827139,-0.020763037593570642,0.029254810581287254,-0.11703361240142666,-0.2427443152744311,0.00497587753939032
264858.json,0.04287912759412666,-0.07596180267866531,-0.03202830216656596,0.012581790229496272,0.0012731518627058856,-0.003628923283883664,-0.01624029786776525,0.013615404700777066,-0.005162893766064712,-0.021879001871489213,-0.014669895895070976,-0.0014956911151372744,0.005421791639698944,-0.0018331598540867091,-0.007963923163272942,0.047191646904341016,0.011206392877982075,0.017484291503245347,-0.00290653786950112,-0.015186993874900046,0.006047523371106247,0.032369312501664936,-0.03141452667537578,-0.021198218662180645,-0.021156650795483754,0.017195677099107007,-0.015081038728076044,0.006644406889256524,0.009990371451101114,-0.027484190966457062
265222.json,0.03443367279628611,-0.06249120055846154,-0.03616935743333314,0.013296401641749533,0.00970596120262962,0.010265942594005841,-0.01262876022140529,0.021536013371261552,-0.015470132506372958,0.03420065599217624,-0.014045585875429869,0.02692497471491201,-0.004629781743471295,0.00834173270096784,0.01325205511957009,-0.031066258021455777,0.004492511363540408,0.01688374939412846,-0.012892371757299322,0.04314620296271104,0.009184520568973053,-0.024313307731233965,-0.028806488261380533,-0.006075336857764787,0.004253791435537693,0.057751799110675364,-0.04937938496797912,0.09738100652476274,0.05531296912386882,-0.03771959512962643
265454.json,0.04195196578120337,-0.06895357816074828,-0.031025559181280905,0.0010276132626475724,0.022255993453093852,0.006486792512005897,-0.01603662832045597,-0.0025218859737081386,0.010891178720133796,-0.036779675950440946,-0.011359022135600508,-0.006354260343458166,0.012710359080581221,-0.020548598252980603,-0.016531502226506588,0.02665711050078535,0.046695832801552276,-0.024334765353843414,0.0061738809490352745,0.008867488519324817,-0.006657939837831669,0.0016282894608356936,-0.025163594747204664,-0.03793093195022912,-0.008372375488594793,-0.028266485698831917,-0.10281354017439721,0.028087643168722257,0.06017423195630732,-0.03360130792610776
265528.json,0.041147222011104864,-0.0781211826680295,-0.027695917151999476,-0.001197318577537064,0.005046959348255079,0.0010745014093938895,-0.014076225679591969,-0.0025048002338309036,0.012322265587385956,-0.006781737202588221,-0.029101683422567595,0.01324992376875967,-0.005628500893845562,0.009583115309182821,-0.0028420574364889334,0.01666664311087525,0.06944337879816218,-0.0036981066804685292,0.0139632659873142,-0.031027547502369444,-0.01717569658093753,0.0013702033724770505,0.015910845486925014,-0.03469760828097367,0.002376219392463075,-0.01800516868590257,-0.007128846754250036,-0.05795268144847076,0.02129630039746802,-0.07843882987155447
284473.json,0.04914528028243392,-0.08119022754697837,-0.03384834223483664,0.012838001011244077,-0.0007445046572025542,-0.011436853590791203,-0.012502156767379187,0.014321079271526788,-0.010314949117888503,0.0010029493914534779,-0.0016472445468102156,-0.008706745405948183,-0.008603212976134565,0.021575324217724085,-0.019487496212903573,0.03497438111734143,-0.035363634826461966,0.04873528687156574,-0.021730400172532013,-0.004681546055189872,0.04930344638534014,0.025375193703141303,-0.0017844584852483116,0.01812199390817705,0.0022859892048668192,0.017896635429192335,-0.03676445360809093,0.004734336745237603,-0.05192522123302821,0.012489868673475405
29582.json,0.03188198179336671,-0.07990387015232282,-0.03729369586519593,0.007071714892845599,0.0005566077097740526,0.022372524916685423,-0.003087859587941409,0.02337302984779289,-0.006562298340573691,0.02232295818252226,-0.027776727664457438,0.026153356102619693,0.0011754916712554768,-0.018113875417467777,0.003912791119233525,-0.055475015498454364,0.009060609278566443,0.027018992123443972,-0.03191803761944226,0.07941964425329552,0.012380925835252316,-0.060650200532083205,-0.00024009845209808114,-0.00368123504222534,0.010343720600750646,0.10126389314740517,0.0018825880705390973,0.06517132577483614,0.05223476853166492,0.01719335515465397
296871.json,0.027976248136691837,-0.0605369713085972,-0.031607007910654066,0.008971609555332029,0.012000984224697562,0.017496130688206903,-0.014070176394765325,-0.003572363131234122,0.01090238903954779,-0.013220970147291762,0.0058897249079317695,-0.007589232140730371,-0.0048144470432282755,0.007966801136063682,-0.00609137253065415,0.08294775256325351,0.0071298664860878005,-0.01932682092993096,-0.0442563096896965,0.0353730727721262,0.032209566626686975,-0.043737918534167516,-0.0020204165474398445,0.004959335178960542,0.007563277182274556,0.017527731763302877,-0.026286425450404396,-0.01129589626741754,-0.05343010657321275,0.01539089736087882
35671.json,0.031011805670081324,-0.06593666254111773,-0.02635408140683384,0.00425194784606763,0.004209401288524919,-0.0015733787865233352,0.003923307063814829,0.013634298213259776,-0.024238748284336455,0.03181041860848292,0.020677147218824136,-0.013873945601455245,-0.009508784423693665,0.00370355787446313,-0.010822626724346472,-0.002340702983553702,-0.01918937944722721,0.014269860086578037,-0.012474915291524242,-0.028526231671898702,0.002893251370810135,0.03830531851903443,-0.02757448812013157,0.00015014292488504404,-0.02153621594674001,0.03391783907766733,-0.04069798239490056,-0.005364054157302381,0.0028396955106629158,-0.012630951955956805
